Area_code,Area_name,"One person household: 
aged 66 years and over
(number)","One person household: 
Other
(number)","Couple family household: 
No Children
(number)","Couple family household: 
Dependent Children
(number)","Couple family household: 
All children non-dependent
(number)","Lone parent household: 
Dependent children
(number)","Lone parent household: 
All children non-dependent
(number)","Other household type
(number)","One person household: 
aged 66 years and over 
(percent)","One  person household: 
Other
(percent)","Couple family household: 
No Children
(percent)","Couple family household: 
Dependent Children
(percent)","Couple family household: 
All children non-dependent
(percent)","Lone parent household: 
Dependent children
(percent)","Lone parent household: 
All children non-dependent
(percent)","Other household type
(percent)","One person household: 
aged 66 years and over 
(percent)","One  person household: 
Other
(percent)","Couple family household: 
No Children
(percent)","Couple family household: 
Dependent Children
(percent)","Couple family household: 
All children non-dependent
(percent)","Lone parent household: 
Dependent children
(percent)","Lone parent household: 
All children non-dependent
(percent)","Other household type
(percent)",top_category,percentage
E09000001,City of London,494,2012,1121,310,80,90,85,724,10,40.9,22.8,6.3,1.6,1.8,1.7,14.7,4,1,2,5,8,6,7,3,One person household,40.9
E09000002,Barking and Dagenham,5991,11512,6229,17818,4838,9427,4689,13400,8.1,15.6,8.4,24.1,6.5,12.8,6.3,18.1,6,3,5,1,7,4,8,2,Couple with dependent children,24.1
E09000003,Barnet,15208,26450,18646,32601,10402,10476,7627,27509,10.2,17.8,12.5,21.9,7,7,5.1,18.5,5,3,4,1,6,6,8,2,Couple with dependent children,21.9
E09000004,Bexley,11968,12785,12565,20932,8204,7665,5016,16165,12.6,13.4,13.2,22,8.6,8,5.3,17,5,3,4,1,6,7,8,2,Couple with dependent children,22
E09000005,Brent,9712,22273,12556,20985,8378,9830,7848,27030,8.2,18.8,10.6,17.7,7.1,8.3,6.6,22.8,6,2,4,3,7,5,8,1,Other household type,22.8
E09000006,Bromley,17443,21225,20783,30428,9579,9298,6149,20923,12.8,15.6,15.3,22.4,7.1,6.8,4.5,15.4,5,2,4,1,6,7,8,3,Couple with dependent children,22.4
E09000007,Camden,9718,26213,14621,12849,3027,5945,4614,15771,10.5,28.3,15.8,13.9,3.3,6.4,5,17,5,1,3,4,8,6,7,2,One person household,28.3
E09000008,Croydon,14652,28439,19848,29290,10343,15169,9374,25832,9.6,18.6,13,19.2,6.8,9.9,6.1,16.9,6,2,4,1,7,5,8,3,Couple with dependent children,19.2
E09000009,Ealing,11837,23825,16810,27688,9278,9558,7690,26973,8.9,17.8,12.6,20.7,6.9,7.2,5.8,20.2,5,3,4,1,7,6,8,2,Couple with dependent children,20.7
E09000010,Enfield,12251,18908,11938,24205,9764,14274,8150,21439,10.1,15.6,9.9,20,8.1,11.8,6.7,17.7,5,3,6,1,7,4,8,2,Couple with dependent children,20
E09000011,Greenwich,9581,24467,17894,20565,5843,10898,6197,18607,8.4,21.5,15.7,18,5.1,9.6,5.4,16.3,6,1,4,2,8,5,7,3,One person household,21.5
E09000012,Hackney,7489,27439,16034,15333,3362,9944,6456,20023,7.1,25.9,15.1,14.5,3.2,9.4,6.1,18.9,6,1,3,4,8,5,7,2,One person household,25.9
E09000013,Hammersmith and Fulham,7351,21973,13070,11137,2712,5354,4329,15318,9,27,16.1,13.7,3.3,6.6,5.3,18.9,5,1,3,4,8,6,7,2,One person household,27
E09000014,Haringey,8958,23335,14712,17669,4834,9079,6776,19729,8.5,22.2,14,16.8,4.6,8.6,6.4,18.8,6,1,4,3,8,5,7,2,One person household,22.2
E09000015,Harrow,9050,10802,9905,20606,9032,4883,4855,20509,10.1,12.1,11,23,10.1,5.4,5.4,22.9,5,3,4,1,5,7,7,2,Couple with dependent children,23
